HR,Normalized HRV,Normalized HR,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,mission,Automation Level of the Robot,nav,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,space,subject,tank,tank_local_score,trees,Mission scores
73.30554563067935,-0.06943605862868002,6.921807995063339,4.932333333333333,2129.4063666666657,2678.1685666666667,1783.7657666666669,975.9355666666664,1.0,0.0,23.73333333333333,0.03333333333333333,7.933333333333334,13.333333333333336,7.4,5.166666666666667,0.5333333333333333,19.0,2.2333333333333334,-3.089643333333333,0.4666666666666667,high score group
72.95644534969345,-0.06348257118061149,6.572707714077451,0.0,6571.8114827586205,566.278,518.7117931034484,577.3810344827588,1.0,1.0,4.0344827586206895,0.0,20.793103448275858,2.5172413793103448,2.1724137931034484,2.9655172413793105,0.20689655172413796,19.0,6.206896551724138,3.8029089655172412,0.3793103448275862,high score group
71.5762254430983,-0.09170750161189538,8.067360664056228,12.141285714285715,1797.2372142857141,3547.1537142857137,1615.4599999999996,1010.0155357142855,2.0,0.0,25.32142857142857,0.10714285714285714,6.607142857142858,16.321428571428573,6.25,5.392857142857144,0.5,19.0,1.8571428571428568,-6.680849642857143,0.42857142857142855,high score group
72.16884139125071,-0.09027570033550468,8.659976612208627,4.741111111111111,6226.135370370369,668.982037037037,312.9015555555555,696.532074074074,2.0,1.0,2.4444444444444446,0.037037037037037035,20.703703703703702,2.9259259259259265,1.2592592592592593,3.6296296296296298,0.2222222222222222,19.0,7.111111111111112,4.71864111111111,0.4814814814814815,high score group
73.88503595055407,-0.09644847058750784,10.241172195566122,0.0,1606.56428,3391.44092,1552.98752,908.53108,3.0,0.0,27.92,0.0,6.08,17.44,6.8,5.2,0.72,19.0,1.2,-8.362846799999998,0.72,high score group
69.31844119742158,-0.09110613740899008,5.674577442433609,0.0,6547.950970588235,463.00802941176465,394.80855882352944,864.6027647058826,3.0,1.0,2.0294117647058822,0.0,19.58823529411765,2.235294117647059,1.5,4.029411764705882,0.029411764705882356,19.0,7.294117647058822,6.801321176470591,0.5588235294117647,high score group
71.53276671177223,-0.1302033694610646,11.82825345534641,0.0,1657.2281538461539,3741.512769230769,1816.396538461539,735.0337692307692,4.0,0.0,27.76923076923077,0.0,5.538461538461538,14.653846153846152,7.0,3.9615384615384617,0.5384615384615384,19.0,2.0384615384615383,-5.784126923076924,0.5384615384615384,high score group
72.77761695255954,-0.14539983215941707,13.073103696133751,2.5454242424242417,6090.0607272727275,564.2872727272727,359.2474848484849,838.4493939393939,4.0,1.0,3.060606060606061,0.030303030303030307,18.60606060606061,3.0,1.606060606060606,4.4848484848484835,0.030303030303030307,19.0,8.121212121212121,5.617690303030304,0.5151515151515151,high score group
82.44858926946723,-0.011102920657381929,2.301653220043297,52.87877777777778,3048.4469259259267,2957.604814814815,1981.321333333333,757.1862222222223,2.0,0.0,21.296296296296298,0.4074074074074074,10.222222222222221,11.370370370370368,7.148148148148147,3.555555555555556,0.7777777777777778,20.0,3.5185185185185186,-2.031977777777779,0.5185185185185185,high score group
83.83108163585412,-0.016443817718404027,3.684145586430191,76.7399375,4791.576749999998,1492.66740625,1511.6148125000007,839.3593124999996,2.0,1.0,5.0,0.5,16.25,6.28125,7.125,3.46875,0.09375,20.0,5.9375,0.7785437500000011,0.40625,high score group
84.51693336627027,-0.027625917076115038,8.905742910082763,93.9474,3010.1535666666673,3175.2753666666667,1787.0261666666665,694.5467666666666,3.0,0.0,23.1,0.5,10.4,12.1,7.033333333333332,3.7,0.6333333333333333,20.0,3.933333333333333,-3.210790000000001,0.5333333333333333,high score group
82.15381707792042,-0.027678121586262937,6.5426266217329285,88.1207,6335.214633333334,868.2333666666666,1240.6079,596.7921333333333,3.0,1.0,2.7333333333333334,0.43333333333333335,20.1,3.7,5.1,2.9,0.13333333333333333,20.0,7.133333333333334,1.8748833333333337,0.4,high score group
83.20510540571135,-0.035099655683742056,5.186901158053554,110.55117857142857,3353.6464285714283,2842.990714285714,1360.1077142857139,852.7432142857144,4.0,0.0,22.142857142857146,0.6785714285714286,13.035714285714285,11.642857142857142,5.678571428571429,3.571428571428572,0.6071428571428571,20.0,4.678571428571429,-2.7100492857142866,0.5,high score group
82.10115191259922,-0.032893374723287856,4.082947664941424,44.1258064516129,5744.782903225806,1170.4397096774194,1099.109935483871,714.950064516129,4.0,1.0,3.193548387096774,0.25806451612903225,19.90322580645161,4.774193548387096,4.967741935483871,3.3225806451612905,0.0,20.0,6.290322580645161,4.546395483870966,0.3870967741935484,high score group
90.22480712887176,-0.03775007023944505,6.797939656973858,57.4519,3193.2681999999995,3186.936933333333,1331.8749333333333,793.1628999999998,1.0,0.0,21.03333333333333,0.3333333333333333,11.133333333333333,10.966666666666667,6.633333333333334,3.8,0.5666666666666667,23.0,4.9,-3.226456999999999,0.5,high score group
91.7236693230372,-0.04035931827044272,8.296801851139259,72.8193103448276,4977.500965517242,1080.4017586206896,620.7373448275862,700.4745172413792,1.0,1.0,3.310344827586207,0.3448275862068966,18.41379310344828,4.137931034482759,3.0689655172413794,3.5517241379310347,0.06896551724137931,23.0,10.103448275862071,1.909145172413793,0.3448275862068966,high score group
89.42332507860107,-0.05993211171539789,5.46110807625214,74.16621212121213,2821.564575757577,3625.0075757575764,1172.9685151515155,623.7085151515151,2.0,0.0,23.393939393939394,0.42424242424242425,12.424242424242426,13.090909090909092,6.2727272727272725,3.636363636363636,0.6060606060606061,23.0,5.4848484848484835,-7.735421515151515,0.6060606060606061,high score group
