subject,mission,mode,HR,HRV,nav,tank,space,trees,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,tank_local_score,HRnorm,label
19.0,1.0,0.0,73.67387033398823,-0.07077613099499783,17.0,2.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,3699.632,4067.683,0.0,0.0,-44.8336,7.290132698372219,1.0
19.0,1.0,1.0,77.49935417204856,-0.098942246201899,0.0,5.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,7815.277999999998,0.0,376.0,0.0,8.07939,11.115616536432556,1.0
19.0,1.0,1.0,72.72727272727273,-0.025763725207275517,0.0,5.0,0.0,1.0,0.0,35.0,0.0,3.0,3.0,0.0,7630.666999999998,0.0,439.98900000000003,587.93,29.286,6.343535091656718,1.0
19.0,1.0,0.0,72.12405337179949,-0.05917539523188176,27.0,2.0,1.0,1.0,0.0,4.0,17.0,9.0,4.0,0.0,735.98,3566.8340000000003,1991.911,1195.77,2.0949999999999993,5.740315736183477,1.0
19.0,1.0,1.0,76.74597083653107,-0.07959138528981086,4.0,6.0,0.0,1.0,0.0,20.0,6.0,0.0,4.0,0.0,7507.045999999999,791.94,0.0,632.028,-1.4439999999999955,10.362233200915057,1.0
19.0,1.0,0.0,80.37018996590353,-0.09703200326513073,28.0,0.0,0.0,0.0,0.0,16.0,11.0,8.0,2.0,0.0,3719.618,2336.509,2299.9300000000007,384.05,8.119000000000009,13.986452330287518,1.0
19.0,1.0,1.0,73.29587099926704,-0.07153801283414933,8.0,10.0,0.0,0.0,0.0,24.0,6.0,0.0,2.0,0.0,6999.662999999999,535.798,0.0,383.98,-5.889000000000002,6.912133363651023,1.0
19.0,1.0,1.0,79.29166116030129,-0.09389087830846612,1.0,9.0,0.0,1.0,0.0,25.0,2.0,1.0,0.0,0.0,8596.046999999999,211.985,367.88,0.0,18.578999999999983,12.907923524685287,1.0
19.0,1.0,0.0,79.53340402969245,-0.0819883069907123,23.0,3.0,0.0,0.0,0.0,9.0,4.0,9.0,5.0,0.0,3283.5999999999995,591.9449999999998,3507.65,1029.939,13.142999999999999,13.149666394076448,1.0
19.0,1.0,0.0,77.76049766718508,-0.07468041802247337,35.0,0.0,0.0,0.0,0.0,3.0,18.0,3.0,11.0,0.0,320.05400000000003,4535.593,495.87,2619.6800000000007,-85.0002,11.376760031569063,1.0
19.0,1.0,1.0,75.50623498455555,-0.0833725135132529,10.0,4.0,2.0,1.0,0.0,18.0,6.0,1.0,5.0,0.0,4814.950000000002,1859.86,144.0,1219.77,0.0,9.122497348939532,1.0
19.0,1.0,0.0,76.90335811330428,-0.06560335140747889,26.0,4.0,0.0,0.0,0.0,10.0,13.0,7.0,9.0,0.0,1504.5700000000004,2279.67,1500.41,2131.94,0.0,10.519620477688264,1.0
19.0,1.0,1.0,70.86335183654187,-0.06355907299526913,10.0,6.0,0.0,0.0,0.0,18.0,7.0,0.0,10.0,0.0,5191.622000000001,1219.803,0.0,1952.316,0.55555,4.479614200925852,1.0
19.0,1.0,1.0,72.8066982162359,-0.08262902188194966,0.0,11.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,9739.926,0.0,0.0,0.0,-0.6666700000000001,6.422960580619887,1.0
19.0,1.0,1.0,72.1327242125511,-0.043646393992194464,0.0,7.0,0.0,0.0,0.0,19.0,0.0,3.0,3.0,0.0,8347.16,0.0,640.01,827.71,20.57097,5.748986576935081,1.0
19.0,1.0,1.0,68.56359273225917,-0.06280179334085033,0.0,5.0,0.0,0.0,0.0,20.0,0.0,2.0,5.0,0.0,7791.307000000002,0.0,335.96,903.966,26.651,2.179855096643152,1.0
19.0,1.0,0.0,73.04601899196494,-0.039683799346649576,25.0,4.0,1.0,1.0,0.0,4.0,27.0,2.0,5.0,0.0,3263.7909999999997,3972.656,496.01,839.7379999999998,10.286,6.662281356348928,1.0
19.0,1.0,1.0,70.60484819957638,-0.05589665973019047,4.0,7.0,0.0,2.0,0.0,16.0,4.0,0.0,0.0,0.0,6487.499,2007.9460000000001,0.0,0.0,11.310000000000002,4.221110563960366,1.0
19.0,1.0,1.0,72.49003262051471,-0.07523135769188502,0.0,4.0,0.0,1.0,0.0,23.0,2.0,0.0,7.0,0.0,7447.646000000002,260.0,0.0,1027.902,16.578999999999994,6.106294984898683,1.0
19.0,1.0,0.0,74.31260837255387,-0.0903768643217716,22.0,3.0,1.0,1.0,0.0,7.0,21.0,11.0,3.0,0.0,2295.75,3307.795,2707.8779999999997,539.98,0.0,7.928870736937867,1.0
19.0,1.0,0.0,76.59900421294523,-0.0870023534046711,37.0,0.0,1.0,1.0,0.0,1.0,18.0,15.0,2.0,0.0,164.02,3615.3440000000014,2887.878,384.01,-2.3329999999999984,10.215266577329217,1.0
19.0,1.0,1.0,80.75370121130553,-0.05630222688365401,9.0,4.0,0.0,0.0,0.0,18.0,0.0,13.0,0.0,0.0,4352.08,0.0,3811.56,0.0,-4.334000000000003,14.369963575689509,1.0
19.0,1.0,1.0,76.89350249903882,-0.05752665258315062,0.0,7.0,0.0,1.0,0.0,22.0,0.0,3.0,0.0,0.0,8671.194999999998,0.0,400.006,0.0,7.611000000000003,10.509764863422802,1.0
19.0,1.0,0.0,71.36249504427118,-0.09048568992627948,33.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,4.0,0.0,0.0,4319.6,3263.658,695.53,-8.88900000000001,4.97875740865517,1.0
19.0,1.0,1.0,70.99658164606889,-0.017591511397980056,4.0,5.0,0.0,0.0,0.0,22.0,0.0,3.0,4.0,0.0,4803.2260000000015,0.0,327.85699999999997,735.99,-12.0,4.612844010452875,1.0
19.0,1.0,0.0,71.94244604316549,-0.08025150365728717,25.0,3.0,1.0,1.0,0.0,2.0,12.0,12.0,3.0,0.0,1315.92,2351.25,2247.8140000000008,576.02,-5.873000000000005,5.55870840754946,1.0
19.0,1.0,0.0,74.58975634012928,-0.08632845380671134,40.0,2.0,1.0,1.0,0.0,12.0,10.0,3.0,9.0,0.0,2915.467,2143.761,628.02,1527.8629999999996,-19.666999999999994,8.20601870451327,1.0
