subject,mission,time_stamp,time,mode,xr,yr,thetar,battery,temperature,robot_tank,tank,nav_counts,space_counts,tank_counts,trees_counts,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,HR10,HR20,HR30,HRV10,HRV20,HRV30,HRV10norm,HRV20norm,HRV30norm,IHRV7,IHRV15,IHRV20,IHRV7norm,IHRV15norm,IHRV20norm
38,1.0,1088.1,599,0,7.2038e-05,-3.8835e-05,-0.0012717,100,50.0,50,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9872142580395,91.16306425525659,92.0798024954961,0.03553431440171599,0.04356463257320431,0.04206438039836884,0.010650512469215476,0.018680830640703795,0.01718057846586833,0.025035,0.029015,0.029788000000000002,0.00015119806749948686,0.004131198067499484,0.004904198067499487
38,1.0,1089.1,598,0,7.0865e-05,-3.4131e-05,-0.0013483,99,50.0,50,50.0,0,0,0,0,0.0,2.0,2.0,1.0,0.0,0.0,463.99,304.0,419.85,0.0,93.82819015846539,92.03395030166685,92.11975568238711,0.039296932308882454,0.04344876932153034,0.042478666946570445,0.01441313037638194,0.018564967389029827,0.01759486501406993,0.02534,0.028677,0.029454,0.0004561980674994866,0.0037931980674994863,0.004570198067499486
38,1.0,1090.1,597,0,6.4055e-05,-2.9434e-05,-0.0014248,99,50.0,50,54.0,1,0,1,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,231.99,251.99,159.99,95.42743538767397,93.16303531179564,92.1812898700778,0.036819661866997117,0.03968056635828234,0.04305013672698056,0.011935859934496602,0.014796764425781827,0.018166334794480047,0.026449,0.029023000000000004,0.029681,0.0015651980674994855,0.004139198067499489,0.004797198067499484
38,1.0,1091.1,596,0,1.291,-0.0023243,0.27848,98,50.0,50,57.571000000000005,3,0,0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,467.81,587.85,96.71913521714394,94.01625697776907,92.44992295839752,0.028563533264040587,0.0355768863695237,0.043723015994548864,0.0036797313315400718,0.010693084437023184,0.01883921406204835,0.02941,0.030244,0.030556999999999997,0.004526198067499484,0.005360198067499485,0.0056731980674994825
38,1.0,1092.1,595,0,3.3533,0.61001,0.25065,98,50.0,50,57.571000000000005,2,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,715.82,0.0,97.85932721712538,94.43706654862034,92.74816855971504,0.01998710521811502,0.03328626722745434,0.043746714702466286,-0.004896696714385494,0.008402465294953827,0.01886291276996577,0.030311,0.030642,0.030846,0.005427198067499486,0.005758198067499484,0.005962198067499484
38,1.0,1093.1,594,0,3.353,0.6116,-0.26115,97,50.0,50,57.571000000000005,5,0,0,0,0.0,1.0,0.0,1.0,2.0,0.0,204.01,0.0,235.97,259.96,97.72981777461061,94.72593615866592,92.9190418135688,0.021043017695900956,0.031806897222733006,0.042715636744096404,-0.0038407842365995593,0.0069230952902324915,0.01783183481159589,0.031066999999999997,0.030996,0.031099,0.0061831980674994826,0.006112198067499484,0.006215198067499487
38,1.0,1094.1,593,0,3.3534,0.6099100000000001,-0.80506,97,50.0,50,57.571000000000005,4,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,148.0,507.86,0.0,97.60065067100447,94.68540012217471,93.03893477161635,0.021807395534542882,0.032318362998281,0.04292674663376608,-0.0030764063979576324,0.007434561065780488,0.018042944701265568,0.031245000000000002,0.03109,0.031166,0.006361198067499487,0.006206198067499485,0.006282198067499484
38,1.0,1095.1,592,0,3.3536,0.6088100000000001,-1.3655,96,50.0,50,57.571000000000005,4,0,0,0,0.0,2.0,4.0,0.0,0.0,0.0,564.0,591.83,0.0,0.0,96.8229954614221,94.26088664146495,92.67342690215564,0.029372007826330183,0.033395344337759134,0.042941138770016166,0.004488205893829669,0.008511542405258619,0.01805733683751565,0.030836,0.030895,0.031013000000000002,0.005952198067499484,0.006011198067499484,0.0061291980674994875
38,1.0,1096.1,591,0,3.3536,0.60756,-1.9069,96,50.0,50,57.571000000000005,5,0,0,0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,479.95,235.97,0.0,96.16347791245119,94.05815423514538,92.36638666711286,0.03531017691473665,0.035596624376667066,0.043090691059144454,0.010426374982236138,0.010712822444166551,0.01820688912664394,0.029087,0.02999,0.030309000000000003,0.0042031980674994834,0.0051061980674994845,0.005425198067499488
38,1.0,1097.1,590,1,2.3629,-1.7244,-1.9723,95,50.0,50,57.571000000000005,3,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,895.81,0.0,0.0,95.002474022761,93.59903381642513,92.06359570369885,0.03913593098100519,0.03678225718044288,0.042469865225131485,0.014252129048504678,0.011898455247942367,0.01758606329263097,0.027634,0.029206999999999997,0.029696999999999998,0.002750198067499484,0.004323198067499482,0.004813198067499483
