subject,mission,time_stamp,time,mode,xr,yr,thetar,battery,temperature,robot_tank,tank,nav_counts,space_counts,tank_counts,trees_counts,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,HR10,HR20,HR30,HRV10,HRV20,HRV30,HRV10norm,HRV20norm,HRV30norm,IHRV7,IHRV15,IHRV20,IHRV7norm,IHRV15norm,IHRV20norm
34,1.0,847.94,599,0,2.317e-05,-0.00010427,-0.0002539,100,50.0,50,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.26849607291769,89.29900282780173,86.93601105233007,0.04996514340573392,0.064907806412891,0.0677828030027505,0.0023578725067736755,0.01730053551393075,0.02017553210379025,0.043001000000000004,0.043588999999999996,0.044878,-0.004606270898960242,-0.004018270898960251,-0.0027292708989602454
34,1.0,848.94,598,0,2.8615e-05,-9.933299999999999e-05,-0.00032993,99,50.0,50,50.0,0,0,0,0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,388.0,376.001,0.0,88.95038545167029,89.35219657483243,86.92216515211378,0.0331760288293956,0.06474243842591453,0.06707979089940157,-0.01443124206956465,0.01713516752695428,0.01947252000044132,0.042989,0.04354600000000001,0.044784,-0.004618270898960247,-0.004061270898960238,-0.0028232708989602492
34,1.0,849.94,597,0,0.00013681,-0.0012326,-0.15026,99,50.0,50,50.0,3,0,0,0,0.0,2.0,1.0,1.0,1.0,0.0,380.0,152.0,95.873,124.01,89.61465697500748,89.20164527479061,86.78686759956942,0.02619126232586397,0.0645132975095488,0.06756388319658223,-0.021416008573096276,0.016906026610588556,0.01995661229762198,0.043952,0.043993000000000004,0.045066,-0.0036552708989602486,-0.0036142708989602423,-0.0025412708989602448
34,1.0,850.94,596,0,-3.5597e-05,-0.0023497,-0.67286,98,50.0,50,50.0,4,0,0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,383.98,443.89,0.0,89.97300809757074,88.69179600886918,86.84210526315789,0.024201561014850985,0.06259486134393676,0.06685459737432158,-0.02340570988410926,0.014987590444976509,0.01924732647536133,0.045445,0.04473699999999999,0.045581,-0.0021622708989602474,-0.0028702708989602546,-0.002026270898960243
34,1.0,851.94,595,0,-0.00011461,-0.0020772,-1.1681,98,50.0,50,50.0,4,0,0,0,0.0,1.0,3.0,0.0,0.0,0.0,167.99,435.881,0.0,0.0,89.82932428386067,88.08788538449858,86.91930332861423,0.023648725594040406,0.06048352533623261,0.06698391243271319,-0.02395854530491984,0.01287625443727236,0.019376641533752945,0.048251999999999996,0.046278999999999994,0.046688,0.0006447291010397496,-0.001328270898960253,-0.0009192708989602463
34,1.0,852.94,594,0,0.07385599999999999,-0.85883,-1.4844,97,50.0,50,50.0,3,0,0,0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,767.89,0.0,104.0,89.25725215173733,87.73699072206536,87.28306099665076,0.0218931775786384,0.058281554506716626,0.06665608803756495,-0.025714093320321846,0.01067428360775638,0.019048817138604707,0.048157,0.04635499999999999,0.046726000000000004,0.0005497291010397518,-0.0012522708989602532,-0.000881270898960243
34,1.0,853.94,593,0,0.32678,-3.7156,-1.4818,97,50.0,50,50.0,4,0,0,0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,235.87,236.003,312.0,88.44339622641509,86.82634730538923,87.57380747031117,0.021073838441695088,0.053246002121979455,0.06338934198811305,-0.02653343245726516,0.005638731223019208,0.015782071089152805,0.047203,0.04599,0.04643100000000001,-0.00040427089896024476,-0.0016172708989602436,-0.0011762708989602397
34,1.0,854.94,592,0,0.58322,-6.572,-1.4801,96,50.0,50,50.0,5,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,891.886,0.0,0.0,87.49088636600354,86.03912731742295,87.78638645961495,0.021919262798567197,0.0505393865399723,0.06128157391625066,-0.02568800810039305,0.002932115641012055,0.013674303017290411,0.045598,0.045264,0.045856,-0.002009270898960247,-0.002343270898960248,-0.0017512708989602457
34,1.0,855.94,591,0,0.83585,-9.3736,-1.4834,96,50.0,50,50.0,3,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,748.017,0.0,0.0,86.09144824947386,85.76075706047614,88.01173489798641,0.02969728756787205,0.05103238579102857,0.058602421465779826,-0.017909983331088196,0.003425114892068322,0.01099515056681958,0.042415,0.043662,0.044571999999999994,-0.005192270898960245,-0.003945270898960247,-0.003035270898960253
34,1.0,856.94,590,1,0.94784,-10.607999999999999,-1.4809,95,50.0,70,30.0,1,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,607.98,0.0,0.0,85.4005693371289,86.0746970071729,88.01760352070414,0.03313762273936266,0.04633307527508924,0.05854787191508437,-0.014469648159597587,-0.0012741956238710092,0.010940601016124124,0.041255,0.043005,0.044028,-0.006352270898960247,-0.004602270898960245,-0.003579270898960249
