subject,mission,time_stamp,time,mode,xr,yr,thetar,battery,temperature,robot_tank,tank,nav_counts,space_counts,tank_counts,trees_counts,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,HR10,HR20,HR30,HRV10,HRV20,HRV30,HRV10norm,HRV20norm,HRV30norm,IHRV7,IHRV15,IHRV20,IHRV7norm,IHRV15norm,IHRV20norm
29,1.0,768.94,599,0,2.8888000000000002e-05,-0.00011357,-0.00011085,100,50.0,50,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6310323762981,92.50509772715968,90.21350529586688,0.021627759939485187,0.044938436324745624,0.052951055900592334,-0.02475311840297715,-0.0014424420177167122,0.006570177558129997,0.027044000000000002,0.030704000000000002,0.032572,-0.019336878342462335,-0.015676878342462335,-0.01380887834246234
29,1.0,769.95,598,0,2.5298e-05,-0.00010863,-0.00018688,99,50.0,50,50.0,0,0,0,0,0.0,1.0,0.0,0.0,2.0,0.0,136.0,0.0,0.0,588.02,90.89072914562715,92.98605209218614,90.25874172628201,0.019428043877057943,0.03726017310050651,0.05275189540799272,-0.026952834465404394,-0.009120705241955823,0.006371017065530386,0.027883,0.030693,0.03239,-0.018497878342462335,-0.015687878342462335,-0.013990878342462335
29,1.0,770.95,597,0,2.3556e-05,-0.00010369,-0.00026276,99,50.0,50,50.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,96.003,0.0,0.0,0.0,91.17617262688684,93.6273029296285,90.38261975697118,0.019150166810993817,0.029573415234931,0.05287551651675453,-0.02723071153146852,-0.016807463107531336,0.006494638174292196,0.02869,0.030921,0.032482,-0.017690878342462336,-0.015459878342462336,-0.01389887834246234
29,1.0,771.95,596,0,2.9116e-05,-9.876399999999999e-05,-0.0003388,98,50.0,50,50.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.41696292534283,93.61316623886454,90.60706735125338,0.01934827009206652,0.029572148496538997,0.05237624567598476,-0.02703260825039582,-0.01680872984592334,0.005995367333522426,0.029584,0.031228000000000002,0.032642,-0.016796878342462337,-0.015152878342462334,-0.01373887834246234
29,1.0,772.95,595,0,3.2851999999999996e-05,-9.3989e-05,-0.00041224,98,50.0,50,50.0,0,0,1,0,0.0,2.0,0.0,0.0,0.0,0.0,1367.91,0.0,0.0,0.0,89.9100899100899,92.48210023866349,90.41176663281685,0.027977768952429982,0.03338215640555774,0.05289503909328861,-0.018403109390032354,-0.012998721936904593,0.006514160750826274,0.031063000000000004,0.031793,0.032944,-0.015317878342462333,-0.014587878342462335,-0.013436878342462336
29,1.0,773.95,594,0,3.7916e-05,-8.8887e-05,-0.0004908,97,50.0,50,50.0,0,0,2,0,0.0,4.0,0.0,0.0,0.0,0.0,1075.891,0.0,0.0,0.0,89.52551477170995,92.08574205760478,90.63748363489879,0.026475649189396648,0.03336333649715242,0.052671514076032884,-0.01990522915306569,-0.01301754184530992,0.006290635733570547,0.031068000000000002,0.03175,0.032856,-0.015312878342462335,-0.014630878342462336,-0.013524878342462333
29,1.0,774.95,593,0,4.1942e-05,-8.3955e-05,-0.00056677,97,50.0,50,50.0,0,0,1,0,0.0,3.0,0.0,0.0,0.0,0.0,939.865,0.0,0.0,0.0,88.65248226950355,91.28386336866903,90.53929930455323,0.028626793975807568,0.03397170886372583,0.052218133434251364,-0.01775408436665477,-0.012409169478736506,0.005837255091789027,0.031068000000000002,0.031707,0.032771,-0.015312878342462335,-0.014673878342462338,-0.013609878342462335
29,1.0,775.95,592,0,4.3831999999999996e-05,-7.918899999999999e-05,-0.00064011,96,50.0,50,50.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,959.99,0.0,0.0,0.0,88.39996071112856,90.63444108761328,90.34632758909152,0.028541120432729238,0.031851739879217474,0.05275234474924514,-0.0178397579097331,-0.014529138463244863,0.006371466406782801,0.031494,0.031854,0.032786,-0.014886878342462335,-0.014526878342462336,-0.013594878342462334
29,1.0,776.95,591,0,4.9076e-05,-7.409e-05,-0.00071858,96,50.0,50,55.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.55472170106316,90.09910901992193,90.08107296566911,0.02751993711430877,0.03033802161571441,0.05282314307615977,-0.018860941228153568,-0.016042856726747927,0.006442264733697432,0.031215999999999997,0.031693,0.032618,-0.01516487834246234,-0.014687878342462338,-0.013762878342462335
29,1.0,777.95,590,0,5.3524e-05,-6.916399999999999e-05,-0.0007945000000000001,95,50.0,50,59.714,0,0,2,0,0.0,2.0,0.0,0.0,0.0,0.0,1791.84,0.0,0.0,0.0,87.54863813229571,89.73528092128223,90.44317154054869,0.02984776187403149,0.03094886463543084,0.04979263667116521,-0.016533116468430847,-0.015432013707031497,0.0034117583287028713,0.030848000000000004,0.031479,0.032411,-0.015532878342462333,-0.014901878342462337,-0.013969878342462334
29,1.0,778.95,589,0,5.4223999999999994e-05,-6.4236e-05,-0.00087031,95,50.0,50,59.159,0,0,2,0,0.0,4.0,0.0,0.0,0.0,0.0,1099.9,0.0,0.0,0.0,87.62779052785312,89.65375103050287,90.93052234533393,0.03184208484611109,0.030901015687373374,0.04456403909260149,-0.014538793496351246,-0.015479862655088963,-0.001816839249860848,0.029204,0.030555999999999996,0.031617,-0.017176878342462336,-0.01582487834246234,-0.014763878342462337
29,1.0,779.95,588,0,5.8811e-05,-5.9316000000000006e-05,-0.00094621,94,50.0,50,59.373000000000005,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,915.88,0.0,0.0,0.0,88.48687444695705,89.67269466447465,91.46947703320738,0.03471304589856031,0.029523267660158017,0.03956115602661999,-0.01166783244390203,-0.01685761068230432,-0.006819722315842346,0.028465999999999998,0.030103,0.031221,-0.01791487834246234,-0.016277878342462335,-0.015159878342462338
29,1.0,780.95,587,0,6.216300000000001e-05,-5.439e-05,-0.0010220000000000001,94,50.0,50,61.667,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,455.86,0.0,0.0,0.0,88.29588933581869,89.71291866028709,91.8194218037859,0.03306128988543683,0.02907048904530732,0.03570513695944892,-0.013319588457025508,-0.01731038929715502,-0.010675741383013415,0.028000999999999998,0.029768,0.030913,-0.01837987834246234,-0.016612878342462337,-0.015467878342462337
29,1.0,781.95,586,0,6.59e-05,-4.9597e-05,-0.0010962,93,50.0,50,63.246,0,0,2,0,0.0,3.0,0.0,0.0,0.0,0.0,851.94,0.0,0.0,0.0,88.41732979664015,89.89212944466641,91.85303514376997,0.034282745903247966,0.02997969683339412,0.03583774609777546,-0.01209813243921437,-0.016401181509068215,-0.010543132244686879,0.026784000000000002,0.028925,0.030159000000000002,-0.019596878342462334,-0.017455878342462337,-0.016221878342462335
29,1.0,782.95,585,0,6.862800000000001e-05,-4.4948000000000004e-05,-0.0011721,93,50.0,50,63.532,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,179.86,0.0,0.0,0.0,89.18838569021901,89.5477836923536,91.38165082938782,0.0292152167352715,0.02873033627060814,0.0339920553933956,-0.017165661607190838,-0.017650542071854198,-0.012388822949066736,0.026635000000000002,0.028717,0.029941999999999996,-0.019745878342462334,-0.017663878342462337,-0.01643887834246234
29,1.0,783.95,584,0,7.0592e-05,-4.0244e-05,-0.0012487,92,50.0,50,63.532,0,0,2,0,0.0,3.0,0.0,0.0,0.0,0.0,1079.99,0.0,0.0,0.0,89.35663224781572,89.44099378881988,91.1577028258888,0.02945701199299675,0.02801319133709846,0.03345617365383488,-0.016923866349465588,-0.018367687005363877,-0.012924704688627456,0.026590999999999997,0.028565,0.029768,-0.01978987834246234,-0.017815878342462337,-0.016612878342462337
29,1.0,784.95,583,0,7.2311e-05,-3.5545e-05,-0.0013254000000000002,92,50.0,50,63.532,0,0,1,0,0.0,2.0,0.0,0.0,0.0,0.0,703.89,0.0,0.0,0.0,90.04180512380748,89.31779682767825,90.8937889244235,0.026247740427530513,0.027994648715749085,0.03204664809806148,-0.020133137914931824,-0.01838622962671325,-0.014334230244400857,0.026292,0.028166999999999998,0.02935,-0.020088878342462337,-0.01821387834246234,-0.017030878342462336
29,1.0,785.95,582,0,6.575e-05,-3.0823e-05,-0.0014019,91,50.0,50,66.389,0,0,3,0,0.0,3.0,0.0,0.0,0.0,0.0,1211.89,0.0,0.0,0.0,89.71291866028709,89.05160045515261,90.32517061421116,0.02722058044935852,0.02832746998154891,0.030555159593394,-0.019160297893103816,-0.018053408360913428,-0.015825718749068338,0.026250999999999997,0.028030000000000003,0.029189,-0.02012987834246234,-0.018350878342462334,-0.017191878342462337
29,1.0,786.95,581,0,6.5153e-05,-2.6123e-05,-0.001477,91,50.0,50,70.532,0,0,2,0,0.0,3.0,0.0,2.0,0.0,0.0,727.983,0.0,259.875,0.0,89.83829107606309,88.72119110748521,90.01200160021337,0.02596887025309768,0.028110492030341105,0.028969323920227424,-0.020412008089364657,-0.01827038631212123,-0.017411554422234913,0.026215999999999996,0.027901,0.029035000000000002,-0.02016487834246234,-0.018479878342462338,-0.017345878342462335
29,1.0,787.95,580,1,6.7105e-05,-2.1453000000000003e-05,-0.0015501,90,50.0,50,75.10300000000001,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,220.0,0.0,90.37051912842658,88.93720045456791,89.94603238057167,0.022687637358017,0.02858843977710025,0.02854890540808875,-0.023693240984445335,-0.017792438565362088,-0.017831972934373587,0.02594,0.027558000000000003,0.028666999999999998,-0.020440878342462335,-0.018822878342462334,-0.01771387834246234
29,1.0,788.95,579,1,6.7105e-05,-2.1453000000000003e-05,-0.0015501,90,50.0,50,78.683,2,0,0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,511.89,267.85,90.72009072009074,89.25029750099165,90.03001000333444,0.023753618145453122,0.030160607126220467,0.028812463009804584,-0.022627260197009214,-0.01622027121624187,-0.017568415332657752,0.026549,0.027761,0.028769000000000003,-0.019831878342462337,-0.018619878342462336,-0.017611878342462334
29,1.0,789.95,578,1,-0.00010590000000000001,0.00065686,0.43965,89,50.0,50,81.548,3,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,292.0,0.0,492.01,0.0,90.38867128653212,89.4276629570747,89.9100899100899,0.022943989772196693,0.030275329156849055,0.02761883415352645,-0.023436888570265643,-0.016105549185613282,-0.018762044188935886,0.026833000000000003,0.027828000000000002,0.028772,-0.019547878342462334,-0.018552878342462335,-0.017608878342462338
29,1.0,790.95,577,1,-0.00018184,0.00028164,0.94973,89,50.0,50,83.698,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,275.88,0.0,0.0,0.0,90.87237479806137,89.56560680698611,90.09610250934331,0.02436518463345234,0.03059667737952384,0.0278830538384522,-0.022015693709009996,-0.015784200962938498,-0.018497824504010135,0.028055,0.028339000000000003,0.029077,-0.018325878342462337,-0.018041878342462334,-0.017303878342462338
