subject,mission,time_stamp,time,mode,xr,yr,thetar,battery,temperature,robot_tank,tank,nav_counts,space_counts,tank_counts,trees_counts,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,HR10,HR20,HR30,HRV10,HRV20,HRV30,HRV10norm,HRV20norm,HRV30norm,IHRV7,IHRV15,IHRV20,IHRV7norm,IHRV15norm,IHRV20norm
26,1.0,3034.0,599,0,3.3454e-05,-0.0001238,4.641399999999999e-05,100,50.0,50,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27362789776105,76.13440259872095,73.48316838237727,0.024285530306100395,0.03751471178084673,0.06269860191622949,-0.06214602211798759,-0.048916840643241255,-0.023732950507858494,0.033881999999999995,0.037564,0.040137,-0.052549552424087986,-0.04886755242408798,-0.04629455242408798
26,1.0,3035.0,598,0,3.2699e-05,-0.00011884,-2.9792e-05,99,50.0,50,50.0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,1011.72,0.0,0.0,0.0,77.3809523809524,76.03020933650971,73.47188679887071,0.024104064328651365,0.0366668024239911,0.06296963676503928,-0.06232748809543662,-0.049764750000096884,-0.023461915659048704,0.032716,0.036751,0.039395000000000006,-0.05371555242408798,-0.04968055242408798,-0.047036552424087975
26,1.0,3036.0,597,0,2.9120999999999998e-05,-0.0001139,-0.00010577,99,50.0,50,50.0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0.0,467.98,515.8,0.0,0.0,77.97660701789464,76.1644370666927,74.03948772678761,0.024421350635538262,0.03665253448294767,0.061713527953808286,-0.06201020178854972,-0.04977901794114031,-0.024718024470279695,0.031749,0.036015,0.038709,-0.05468255242408798,-0.05041655242408798,-0.04772255242408798
26,1.0,3037.0,596,0,2.5805e-05,-0.00010896,-0.00018183,98,50.0,50,50.0,0,0,0,0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,180.03,227.98,424.0,78.10935309433206,76.08034083992698,74.13910837967028,0.02395138073375425,0.03699716745914476,0.06125525021310711,-0.062480171690333736,-0.04943438496494322,-0.02517630221098087,0.030912,0.03533,0.038058999999999996,-0.05551955242408799,-0.05110155242408798,-0.048372552424087986
26,1.0,3038.0,595,0,0.9561799999999999,7.3963e-06,-0.0014592000000000001,98,50.0,50,50.0,4,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,416.0,355.97,0.0,77.7589472634832,76.07262399837713,74.55668995163892,0.026765472768930834,0.03704755862401731,0.05617944483451047,-0.05966607965515715,-0.04938399380007067,-0.030252107589577512,0.030156999999999996,0.034676,0.037431,-0.056274552424087985,-0.05175555242408798,-0.04900055242408798
26,1.0,3039.0,594,0,1.2432,-0.0010409,0.50205,97,50.0,50,50.0,3,0,0,0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,599.75,0.0,231.98,76.8,75.93783222801602,74.63690155997848,0.03366532588089214,0.03864124221605718,0.05522180522308574,-0.05276622654319584,-0.0477903102080308,-0.03120974720100224,0.029456,0.033743,0.036453000000000006,-0.056975552424087986,-0.05268855242408798,-0.049978552424087976
26,1.0,3040.0,593,0,1.2429999999999999,-0.00049796,1.0964,97,50.0,50,50.0,5,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1027.95,0.0,0.0,76.26870049867995,76.02709683707783,74.79824158519781,0.03821877230122674,0.03607686157121212,0.05258002738472463,-0.04821278012286124,-0.05035469085287586,-0.03385152503936335,0.030552,0.034022,0.036537,-0.055879552424087986,-0.052409552424087985,-0.04989455242408798
26,1.0,3041.0,592,0,1.2431,-4.3773e-05,1.6416,96,50.0,50,50.0,4,0,0,0,0.0,1.0,3.0,0.0,0.0,0.0,367.85,540.03,0.0,0.0,76.53061224489795,76.2575157647749,75.1904494937836,0.03565648069264008,0.03289612933832469,0.04555013827589229,-0.0507750717314479,-0.05353542308576329,-0.04088141414819569,0.031785999999999995,0.034421999999999994,0.036722000000000005,-0.05464555242408799,-0.05200955242408799,-0.04970955242408798
26,1.0,3042.0,591,0,1.2429,0.00053258,2.2027,96,50.0,50,50.0,5,0,0,0,0.0,2.0,3.0,0.0,0.0,0.0,455.85,431.91,0.0,0.0,76.23888182973316,76.44061152489219,75.516693163752,0.03582435785027577,0.0301686580575617,0.03935849860884408,-0.050607194573812214,-0.05626289436652628,-0.047073053815243904,0.032884000000000004,0.034807,0.036906,-0.05354755242408798,-0.051624552424087984,-0.04952555242408798
26,1.0,3043.0,590,1,1.2429999999999999,0.00030848,2.7323,95,50.0,50,50.0,3,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,847.93,0.0,0.0,75.32956685499059,76.28928898382667,75.63945194572538,0.035077295600810875,0.03142752933337267,0.0373542319243654,-0.05135425682327711,-0.05500402309071531,-0.04907732049972258,0.034018,0.035253,0.037146,-0.05241355242408798,-0.05117855242408798,-0.04928555242408798
