subject,mission,time_stamp,time,mode,xr,yr,thetar,battery,temperature,robot_tank,tank,nav_counts,space_counts,tank_counts,trees_counts,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,HR10,HR20,HR30,HRV10,HRV20,HRV30,HRV10norm,HRV20norm,HRV30norm,IHRV7,IHRV15,IHRV20,IHRV7norm,IHRV15norm,IHRV20norm
23,1.0,1232.3,599,0,3.2459e-05,-9.440200000000001e-05,-0.00040591,100,50.0,50,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.50268928423664,102.08166533226584,100.41168792047395,0.032312380992398596,0.031560454428557,0.03911634440997777,-0.032525964391179246,-0.033277890955020845,-0.02572200097360007,0.018913,0.021181,0.022699999999999998,-0.04592534538357784,-0.04365734538357784,-0.042138345383577844
23,1.0,1233.3,598,0,3.7698000000000004e-05,-8.9461e-05,-0.00048194,99,50.0,50,50.0,0,0,0,0,0.0,4.0,1.0,1.0,0.0,0.0,611.865,87.99,156.0,0.0,105.85122022934432,102.33258088788563,101.08017044891487,0.030860348525431625,0.03200985196525234,0.03418586823647882,-0.03397799685814622,-0.0328284934183255,-0.030652477147099025,0.019256,0.021084,0.022484,-0.045582345383577846,-0.04375434538357784,-0.04235434538357784
23,1.0,1234.3,597,0,4.1213e-05,-8.453e-05,-0.0005579,99,50.0,50,51.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,106.93069306930691,102.80185446482564,101.62736632348059,0.025291388277191375,0.03166170664730611,0.03268451599066476,-0.03954695710638646,-0.03317663873627173,-0.03215382939291308,0.019434,0.021059,0.022398000000000005,-0.04540434538357784,-0.04377934538357784,-0.04244034538357784
23,1.0,1235.3,596,0,4.3561000000000005e-05,-7.9598e-05,-0.00063378,98,50.0,50,55.857,0,0,1,0,0.0,2.0,0.0,2.0,0.0,0.0,1011.84,0.0,340.028,0.0,108.35758001404633,103.36680448907265,102.31718326813122,0.02012683547338823,0.03261230517733437,0.03249263957110251,-0.044711509910189615,-0.03222604020624347,-0.03234570581247533,0.020654,0.021566999999999996,0.022721,-0.04418434538357784,-0.043271345383577846,-0.04211734538357784
23,1.0,1236.3,595,0,4.8679e-05,-7.4671e-05,-0.00070973,98,50.0,50,60.0,3,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,631.89,0.0,109.73144672249491,104.22353466673285,102.99069122598536,0.01786669629688423,0.035391501343499644,0.033846569053397266,-0.046971649086693615,-0.029446844040078198,-0.030991776330180576,0.032974,0.027752,0.027350000000000003,-0.03186434538357784,-0.03708634538357784,-0.03748834538357784
23,1.0,1237.3,594,0,8.3622e-05,0.00017077,0.44443999999999995,97,50.0,50,63.428999999999995,4,0,0,0,0.0,1.0,0.0,5.0,0.0,0.0,167.99,0.0,763.669,0.0,110.6473842570125,105.16300265411388,103.40027838536489,0.016485534664838607,0.03550480277945734,0.035366822449543214,-0.04835281071873923,-0.0293335426041205,-0.029471522934034627,0.041951,0.032567,0.031038,-0.02288734538357784,-0.03227134538357784,-0.033800345383577846
23,1.0,1238.3,593,0,6.4707e-05,0.00055537,-0.0060762,97,50.0,50,66.143,4,0,2,0,0.0,3.0,0.0,0.0,0.0,0.0,876.01,0.0,0.0,0.0,110.68976119708928,105.47993369832736,103.28068043742407,0.016959010133004753,0.03446031731408975,0.03540156846237618,-0.047879335250573085,-0.03037802806948809,-0.02943677692120166,0.057153999999999996,0.041557,0.038083,-0.007684345383577845,-0.023281345383577845,-0.026755345383577843
23,1.0,1239.3,592,0,-0.00019316,-0.00047985,-0.5284,96,50.0,50,70.429,3,0,1,0,0.0,3.0,0.0,0.0,0.0,0.0,999.89,0.0,0.0,0.0,108.12975570684821,104.77996207963274,102.66197229442928,0.04521785400688154,0.04213046791255244,0.03964380515266221,-0.019620491376696303,-0.0227078774710254,-0.02519454023091563,0.063061,0.045486000000000006,0.04124100000000001,-0.0017773453835778358,-0.019352345383577836,-0.023597345383577835
23,1.0,1240.3,591,0,-0.00059389,-0.00080206,-1.0578,96,50.0,50,74.143,4,0,2,0,0.0,3.0,0.0,0.0,0.0,0.0,732.02,0.0,0.0,0.0,104.92747659705792,103.78510378510374,102.17710698544145,0.07384262701186789,0.05766779338993011,0.04966330310711742,0.009004281628290048,-0.007170551993647731,-0.015175042276460424,0.07010600000000002,0.051273000000000006,0.046083,0.005267654616422174,-0.013565345383577836,-0.018755345383577843
23,1.0,1241.3,590,0,-0.00070586,-0.00073075,-1.6011,95,50.0,50,77.143,3,0,0,0,0.0,2.0,0.0,3.0,0.0,0.0,356.028,0.0,615.88,0.0,101.74880763116059,102.94191855477618,101.80880306783858,0.08889018418110067,0.0665154260537673,0.05616960387967855,0.02405183879752283,0.001677080670189457,-0.008668741503899291,0.070949,0.052872,0.047548,0.0061106546164221565,-0.01196634538357784,-0.01729034538357784
